v8-version,7,8,279,23,-node.46,0
code-creation,Builtin,3,1964,0x13b43c0,36,ArrayConstructor
code-creation,Builtin,3,1967,0x13b4400,413,ArrayConstructorImpl
code-creation,Builtin,3,1972,0x13b45a0,233,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,1975,0x13b46a0,233,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,1979,0x13b47a0,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,1982,0x13b4880,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,1986,0x13b4960,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,1989,0x13b4a40,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,1992,0x13b4b20,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,1996,0x13b4c00,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2000,0x13b4ce0,313,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2003,0x13b4e20,533,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2006,0x13b5040,249,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2010,0x13b5140,413,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2013,0x13b52e0,249,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2017,0x13b53e0,413,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2020,0x13b5580,249,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2024,0x13b5680,429,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2028,0x13b5840,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,2030,0x13b58a0,5,InternalArrayConstructor
code-creation,Builtin,3,2033,0x13b58c0,5,InternalArrayConstructorImpl
code-creation,Builtin,3,2036,0x13b58e0,189,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,2039,0x13b59a0,12,ArrayConcat
code-creation,Builtin,3,2042,0x13b59c0,150,ArrayIsArray
code-creation,Builtin,3,2045,0x13b5a60,12,ArrayPrototypeFill
code-creation,Builtin,3,2048,0x13b5a80,3916,ArrayFrom
code-creation,Builtin,3,2050,0x13b69e0,970,ArrayIncludesSmiOrObject
code-creation,Builtin,3,2053,0x13b6dc0,136,ArrayIncludesPackedDoubles
code-creation,Builtin,3,2056,0x13b6e60,204,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,2059,0x13b6f40,557,ArrayIncludes
code-creation,Builtin,3,2062,0x13b7180,890,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,2064,0x13b7500,108,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,2067,0x13b7580,108,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,2070,0x13b7600,565,ArrayIndexOf
code-creation,Builtin,3,2073,0x13b7840,12,ArrayPop
code-creation,Builtin,3,2075,0x13b7860,708,ArrayPrototypePop
code-creation,Builtin,3,2078,0x13b7b40,12,ArrayPush
code-creation,Builtin,3,2081,0x13b7b60,2742,ArrayPrototypePush
code-creation,Builtin,3,2083,0x13b8620,12,ArrayShift
code-creation,Builtin,3,2086,0x13b8640,12,ArrayUnshift
code-creation,Builtin,3,2089,0x13b8660,1106,CloneFastJSArray
code-creation,Builtin,3,2091,0x13b8ac0,2566,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,2094,0x13b94e0,1146,ExtractFastJSArray
code-creation,Builtin,3,2097,0x13b9960,299,ArrayPrototypeEntries
code-creation,Builtin,3,2100,0x13b9aa0,279,ArrayPrototypeKeys
code-creation,Builtin,3,2103,0x13b9bc0,299,ArrayPrototypeValues
code-creation,Builtin,3,2106,0x13b9d00,4292,ArrayIteratorPrototypeNext
code-creation,Builtin,3,2108,0x13bade0,3800,FlattenIntoArray
code-creation,Builtin,3,2111,0x13bbcc0,3764,FlatMapIntoArray
code-creation,Builtin,3,2114,0x13bcb80,528,ArrayPrototypeFlat
code-creation,Builtin,3,2117,0x13bcda0,576,ArrayPrototypeFlatMap
code-creation,Builtin,3,2119,0x13bd000,12,ArrayBufferConstructor
code-creation,Builtin,3,2122,0x13bd020,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,2126,0x13bd040,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,2129,0x13bd060,12,ArrayBufferIsView
code-creation,Builtin,3,2131,0x13bd080,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,2134,0x13bd0a0,628,AsyncFunctionEnter
code-creation,Builtin,3,2139,0x13bd320,161,AsyncFunctionReject
code-creation,Builtin,3,2142,0x13bd3e0,153,AsyncFunctionResolve
code-creation,Builtin,3,2145,0x13bd480,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,2148,0x13bd4a0,1298,AsyncFunctionAwaitCaught
code-creation,Builtin,3,2151,0x13bd9c0,1298,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,2154,0x13bdee0,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,2157,0x13bdfa0,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,2160,0x13be060,12,BigIntConstructor
code-creation,Builtin,3,2162,0x13be080,12,BigIntAsUintN
code-creation,Builtin,3,2165,0x13be0a0,12,BigIntAsIntN
code-creation,Builtin,3,2168,0x13be0c0,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,2171,0x13be0e0,12,BigIntPrototypeToString
code-creation,Builtin,3,2174,0x13be100,12,BigIntPrototypeValueOf
code-creation,Builtin,3,2176,0x13be120,186,BooleanPrototypeToString
code-creation,Builtin,3,2179,0x13be1e0,178,BooleanPrototypeValueOf
code-creation,Builtin,3,2182,0x13be2a0,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,2185,0x13be2c0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,2188,0x13be2e0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,2191,0x13be300,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,2194,0x13be320,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,2197,0x13be340,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,2200,0x13be360,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,2203,0x13be380,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,2206,0x13be3a0,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,2209,0x13be3c0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,2212,0x13be3e0,12,CallSitePrototypeGetThis
code-creation,Builtin,3,2215,0x13be400,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,2218,0x13be420,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,2221,0x13be440,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,2224,0x13be460,12,CallSitePrototypeIsEval
code-creation,Builtin,3,2227,0x13be480,12,CallSitePrototypeIsNative
code-creation,Builtin,3,2230,0x13be4a0,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,2233,0x13be4c0,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,2236,0x13be4e0,12,CallSitePrototypeToString
code-creation,Builtin,3,2239,0x13be500,12,ConsoleDebug
